"Harvey, H. (Hezekiah)", 1821 - 1893
"Harvey, Lucy (Loomis)", 
"Mangano, Antonio", 1869 - 1951
"Hughes, Charles Evans", 1862 - 1948
"Lewis, John James", 1833 - 1884
"Case, Josephine Young", 1907 - 1990
"York, Zebulon", 
"York, Galutia", 
"York, Lucy", 
"York, Bell", 
"Harsh, Constance D.", 1960-
"Carter, John Ross", 
"Shibayama, Zenkei", 1894 - 1974
"Kudo, Sumiko", 
"Kenyon, Margaret", 
"Crouch, Calvin, Jr.", 
"Livermore, Francesca", 
"Walter, Jerry", 
"Shelton, Gilbert", 
"Avedon, Valerie", 
"Mathews, Elkin", 1851 - 1921
"Eldred, George E.", 
"Greene, Joel H.", 
"Washington, Booker T.", 1856 - 1915
"Meredith, William", 1725?-1790
"Meredith, William", 1919 - 2007
"Marconi, Guglielmo", 1874 - 1937
"Watson, Elkanah", 1758 - 1842
"Judson, Emily C. (Emily Chubbuck)", 1817 - 1854
"Merrill, George E. (George Edmands)", 1846 - 1908
"Yeats, Jack Butler", 1871 - 1957
"Maginnis, John Sharp", 1805 - 1852
"Skinner, D. W.", 
"Cartter, Allan Murray", 
"Stillman, Charlotte", 
"Kicinski, Michael ", 
"Henshaw, Clement Long", 
"Wilson, Charles R.", 
"Harding, Warren G. (Warren Gamaliel)", 1865 - 1923
"Boyle, William L.", 
"Chambers, Robert W. (Robert William)", 1865 - 1933
"McVaugh, Robert", 
"Richardson, Harold L.", 
"Richardson, H. Leonard", 
"Allen, Lloyd C.", 
"Allen, Clyde", 
"Callahan, Shirley", 
"Heim, Hal", 
"Murdoch, Carleton Chase", 
"Murdoch, Franklin", 
"Jacobs, Paul", 
"Pruden, Donald M.", 
"Seckar, Donna Pruden", 
"Briggs, Jerry R., Sr.", 
"Andrews, Harry D.", 1890 - 1981
"Riemann, G.F. (George Fred)", 
"Bunnell, Wayland", 
"Dodson, Michael W.", 
"Marks, Johnny", 1909 - 1985
"Dodd, Mary Ann", 
"Gibson, Rebecca", 
"Hamilton, Earl", 
"Parsons, Muffy (Mary Hamilton)", 
"Likel, Frederick H.", 
"Davidson, Linda", 
"Davidson, William", 
"Machata, Joan M.", 
"Hottenrott, Rita J.", 
"Kyaw, Moung", 
"Baryla, Bruce", 
"Chopp, Rebecca S.", 1952-
"Stalker, Luke (Peter Stalker IV)", 
"Shi, Wenhua", 
"Nucci, Georgia", 
"Kincaid, Eugenio", 
"Bennett, Alfred", 1780 - 1851
"Gray, David", 
"Barnett, Vincent M.", 
"Berry, Wanda Warren", 
"Ellis, Ainslie", 
"Weeks, Laura Macomber", 
"Mescher, Corinne", 
"Dames, K. Matthew", 
"Blakeslee, Frederick Wallace", 
"Cole, A. H.", 
"Wheeler, A.H.", 
"Melen, Dean", 
"Adgate, Hannah", 
"Wheeler, Harry A., III", 
"Wheeler, Harry A., Jr.", 
"Arbus, Diane, 1923-1971", 
"Serra, Richard, 1939-", 
"Dedrick, Edgar S.", 
"Dedrick, Alan R.", 
"Williams, William R., 1804-1885", 
"Baker, Ernest Hamlin", 1889 - 1975
"Kerr, Andy, 1878-1969 (Andrew)", 
"O'Neil, Frank J.", 
"Anderson, Warren M., 1915-2007", 
"Anderson, Lawrence C.", 
"Gibson, Walter B. (Walter Brown)", 
"Cox, J. Randolph", 
"Grant, Maxwell", 
"Aschoff, Audrey", 
"Davis, James W., Jr.", 
"Lura, Russell", 
"Jones, Ralph", 
"Ketcham, John B.", 1905 - 1988
